Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
04/16/2024,5.49,5.51,5.45,5.44,5.39,5.18,4.97,4.83,4.69,4.69,4.67,4.88,4.77
04/15/2024,5.49,5.51,5.45,5.44,5.38,5.16,4.93,4.78,4.65,4.65,4.63,4.85,4.74
04/12/2024,5.48,5.50,5.45,5.42,5.36,5.13,4.88,4.70,4.54,4.53,4.50,4.73,4.61
04/11/2024,5.48,5.51,5.45,5.44,5.38,5.17,4.93,4.77,4.61,4.60,4.56,4.77,4.65
04/10/2024,5.49,5.50,5.45,5.44,5.40,5.19,4.97,4.77,4.61,4.59,4.55,4.76,4.64
04/09/2024,5.48,5.49,5.43,5.41,5.34,5.03,4.74,4.52,4.37,4.38,4.36,4.60,4.50
04/08/2024,5.48,5.49,5.43,5.41,5.35,5.07,4.78,4.60,4.43,4.43,4.42,4.65,4.55
04/05/2024,5.47,5.50,5.43,5.41,5.34,5.05,4.73,4.54,4.38,4.39,4.39,4.65,4.54
04/04/2024,5.47,5.49,5.41,5.40,5.32,5.00,4.65,4.46,4.30,4.31,4.31,4.57,4.47
04/03/2024,5.47,5.44,5.42,5.40,5.33,5.03,4.68,4.48,4.34,4.36,4.36,4.61,4.51
04/02/2024,5.49,5.45,5.42,5.40,5.34,5.05,4.70,4.51,4.35,4.37,4.36,4.61,4.51
04/01/2024,5.49,5.47,5.44,5.41,5.36,5.06,4.72,4.51,4.34,4.33,4.33,4.58,4.47
03/28/2024,5.49,5.48,5.46,5.42,5.38,5.03,4.59,4.40,4.21,4.20,4.20,4.45,4.34
03/27/2024,5.50,5.47,5.45,5.41,5.36,4.99,4.54,4.36,4.18,4.18,4.20,4.45,4.36
03/26/2024,5.50,5.47,5.46,5.41,5.36,5.00,4.56,4.38,4.22,4.23,4.24,4.49,4.40
03/25/2024,5.51,5.48,5.46,5.41,5.36,5.00,4.54,4.39,4.23,4.25,4.25,4.51,4.42
03/22/2024,5.51,5.47,5.46,5.40,5.34,4.98,4.59,4.36,4.20,4.22,4.22,4.47,4.39
03/21/2024,5.51,5.48,5.48,5.40,5.36,5.01,4.62,4.42,4.26,4.28,4.27,4.53,4.44
03/20/2024,5.50,5.47,5.47,5.41,5.36,5.01,4.59,4.41,4.25,4.28,4.27,4.53,4.45
03/19/2024,5.52,5.48,5.48,5.41,5.39,5.06,4.68,4.47,4.31,4.31,4.30,4.54,4.44
03/18/2024,5.52,5.48,5.48,5.41,5.39,5.06,4.73,4.52,4.36,4.35,4.34,4.57,4.46
03/15/2024,5.52,5.48,5.48,5.41,5.38,5.05,4.72,4.51,4.33,4.33,4.31,4.55,4.43
03/14/2024,5.52,5.48,5.48,5.42,5.38,5.04,4.68,4.46,4.29,4.30,4.29,4.54,4.44
03/13/2024,5.52,5.47,5.48,5.41,5.37,5.01,4.61,4.37,4.19,4.20,4.19,4.45,4.35
03/12/2024,5.52,5.48,5.48,5.41,5.37,5.00,4.58,4.33,4.15,4.16,4.16,4.42,4.31
03/11/2024,5.50,5.47,5.48,5.41,5.35,4.95,4.51,4.26,4.08,4.09,4.10,4.36,4.26
03/08/2024,5.51,5.48,5.46,5.40,5.34,4.92,4.48,4.25,4.06,4.08,4.09,4.36,4.26
03/07/2024,5.51,5.48,5.47,5.40,5.34,4.93,4.50,4.28,4.07,4.09,4.09,4.35,4.25
03/06/2024,5.50,5.47,5.47,5.40,5.35,4.95,4.55,4.32,4.12,4.12,4.11,4.36,4.24
03/05/2024,5.50,5.47,5.47,5.40,5.35,4.94,4.54,4.32,4.13,4.15,4.13,4.39,4.27
03/04/2024,5.51,5.49,5.48,5.42,5.37,4.98,4.61,4.39,4.21,4.23,4.22,4.48,4.36
03/01/2024,5.54,5.49,5.42,5.41,5.27,4.94,4.54,4.32,4.17,4.20,4.19,4.46,4.33
02/29/2024,5.53,5.50,5.45,5.43,5.30,5.01,4.64,4.43,4.26,4.28,4.25,4.51,4.38
02/28/2024,5.50,5.51,5.45,5.43,5.31,5.00,4.64,4.44,4.26,4.28,4.27,4.53,4.40
02/27/2024,5.50,5.52,5.45,5.47,5.33,5.03,4.70,4.50,4.32,4.34,4.31,4.57,4.44
02/26/2024,5.50,5.52,5.47,5.47,5.34,5.03,4.69,4.48,4.29,4.32,4.28,4.53,4.40
02/23/2024,5.49,5.51,5.46,5.46,5.32,5.00,4.67,4.45,4.28,4.28,4.26,4.51,4.37
02/22/2024,5.49,5.51,5.45,5.45,5.32,5.02,4.69,4.49,4.33,4.35,4.33,4.58,4.47
02/21/2024,5.50,5.50,5.44,5.45,5.32,4.98,4.64,4.43,4.30,4.33,4.32,4.59,4.49
02/20/2024,5.49,5.49,5.44,5.45,5.32,4.97,4.59,4.38,4.25,4.28,4.27,4.56,4.44
02/16/2024,5.48,5.51,5.44,5.45,5.31,4.98,4.64,4.43,4.29,4.31,4.30,4.58,4.45
02/15/2024,5.49,5.51,5.43,5.45,5.30,4.93,4.56,4.36,4.22,4.25,4.24,4.54,4.42
02/14/2024,5.48,5.51,5.43,5.45,5.31,4.94,4.56,4.38,4.25,4.27,4.27,4.57,4.45
02/13/2024,5.48,5.52,5.45,5.46,5.32,4.99,4.64,4.44,4.31,4.33,4.31,4.59,4.46
02/12/2024,5.49,5.51,5.43,5.43,5.27,4.87,4.46,4.25,4.13,4.16,4.17,4.48,4.37
02/09/2024,5.49,5.51,5.44,5.43,5.26,4.86,4.48,4.25,4.14,4.17,4.17,4.48,4.37
02/08/2024,5.49,5.51,5.44,5.42,5.24,4.83,4.46,4.22,4.12,4.15,4.15,4.47,4.36
02/07/2024,5.47,5.49,5.43,5.40,5.23,4.83,4.41,4.16,4.06,4.09,4.09,4.41,4.31
02/06/2024,5.48,5.50,5.44,5.41,5.23,4.82,4.39,4.14,4.03,4.07,4.09,4.39,4.29
02/05/2024,5.49,5.50,5.42,5.42,5.25,4.87,4.46,4.27,4.13,4.16,4.17,4.46,4.35
02/02/2024,5.49,5.51,5.43,5.42,5.22,4.81,4.36,4.14,3.99,4.02,4.03,4.33,4.22
02/01/2024,5.49,5.51,5.42,5.38,5.15,4.68,4.20,3.96,3.80,3.83,3.87,4.21,4.10
01/31/2024,5.53,5.46,5.42,5.40,5.18,4.73,4.27,4.05,3.91,3.95,3.99,4.34,4.22
01/30/2024,5.53,5.47,5.42,5.38,5.19,4.80,4.36,4.14,4.00,4.03,4.06,4.40,4.28
01/29/2024,5.53,5.46,5.42,5.37,5.19,4.76,4.29,4.10,3.97,4.02,4.08,4.42,4.31
01/26/2024,5.54,5.45,5.44,5.39,5.19,4.78,4.34,4.15,4.04,4.10,4.15,4.49,4.38
01/25/2024,5.54,5.48,5.44,5.39,5.19,4.76,4.28,4.12,4.01,4.07,4.14,4.49,4.38
01/24/2024,5.52,5.44,5.44,5.40,5.22,4.83,4.34,4.19,4.06,4.14,4.18,4.52,4.41
01/23/2024,5.53,5.46,5.45,5.38,5.21,4.81,4.31,4.16,4.06,4.11,4.14,4.48,4.38
01/22/2024,5.53,5.47,5.46,5.39,5.22,4.83,4.37,4.14,4.03,4.07,4.11,4.44,4.32
01/19/2024,5.54,5.47,5.45,5.39,5.21,4.84,4.39,4.18,4.08,4.12,4.15,4.47,4.36
01/18/2024,5.53,5.48,5.45,5.39,5.20,4.80,4.34,4.13,4.04,4.10,4.14,4.48,4.37
